company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
201–500,5M–20M,Logistics provider,101–250,Trucks,>10,Preventive,7,2158,"Accidents,Tire issues,Battery/charging (for EVs)","None,WMS",Very familiar,Data security concerns,Likely,<10%,Sustainability goals,10–20%,"Sustainability/CO₂ reports,Parts availability",Moderately important,3rd party tool,<2%,Essential,"Uptime/reliability,Safety,Customer satisfaction","Higher cost, maximum reliability","Emission metrics,Delivery delays,Downtime hours",Yes
51–200,20M–100M,Logistics provider,251–500,"Vans,Trucks,Forklifts",6–10,Reactive,3,2095,Mechanical failure,"None,WMS,ERP",Somewhat familiar,Data security concerns,Unlikely,26–50%,Competitive advantage,>30%,"Parts availability,Real-time health scores,Cost–benefit analysis",Critical,Manual spreadsheet,2–5%,Medium,"Uptime/reliability,Safety,Cost reduction","Lower cost, moderate reliability","Fuel efficiency,Delivery delays,Emission metrics",Maybe
201–500,1M–5M,Logistics provider,25–100,Electric vehicles (EVs),2–5,Reactive,2,1502,"Electrical issues,Accidents",WMS,Very familiar,Complexity,Neutral,>50%,Sustainability goals,21–30%,"Real-time health scores,Cost–benefit analysis",Very important,Not tracked,2–5%,Essential,"Safety,Regulatory compliance,Sustainability","Lower cost, moderate reliability","Emission metrics,Fuel efficiency,Repair costs,Delivery delays",Maybe
201–500,5M–20M,Logistics provider,101–250,"Trucks,Forklifts",2–5,Reactive,2,1377,"Accidents,Battery/charging (for EVs)","None,WMS,TMS",Somewhat familiar,Cost,Very likely,>50%,Sustainability goals,10–20%,"Parts availability,Predictive alerts,Cost–benefit analysis",Critical,In-house software,<2%,Medium,"Regulatory compliance,Uptime/reliability,Cost reduction","Lower cost, moderate reliability",Delivery delays,Yes
201–500,5M–20M,Retail/E-commerce,25–100,"Delivery bikes,Forklifts",6–10,Reactive,1,1320,"Accidents,Electrical issues,Tire issues",WMS,Heard of it,Other,Likely,<10%,Sustainability goals,10–20%,Maintenance scheduling,Very important,Manual spreadsheet,2–5%,Medium,"Uptime/reliability,Customer satisfaction,Safety","Lower cost, moderate reliability","Downtime hours,Repair costs",No
>1000,5M–20M,Retail/E-commerce,>500,"Electric vehicles (EVs),Delivery bikes",2–5,Reactive,0,1419,Accidents,None,Very familiar,Other,Neutral,26–50%,Uptime improvement,21–30%,"Parts availability,Fuel efficiency analytics,Sustainability/CO₂ reports",Slightly important,Manual spreadsheet,2–5%,High,"Cost reduction,Uptime/reliability,Customer satisfaction","Moderate cost, high reliability",Downtime hours,Maybe
51–200,1M–5M,Logistics provider,101–250,"Forklifts,Delivery bikes",6–10,Preventive,3,1130,"Battery/charging (for EVs),Mechanical failure,Tire issues","WMS,TMS",Not familiar,Complexity,Likely,<10%,Competitive advantage,21–30%,"Sustainability/CO₂ reports,Predictive alerts",Critical,Not tracked,2–5%,Low,"Regulatory compliance,Cost reduction,Customer satisfaction","Moderate cost, high reliability",Repair costs,Maybe
>1000,5M–20M,Logistics provider,25–100,"Electric vehicles (EVs),Delivery bikes,Vans,Forklifts",2–5,Preventive,2,1806,Accidents,"ERP,WMS,TMS",Somewhat familiar,Other,Unlikely,10–25%,Competitive advantage,21–30%,"Predictive alerts,Cost–benefit analysis",Moderately important,In-house software,<2%,Essential,"Uptime/reliability,Regulatory compliance,Sustainability","Moderate cost, high reliability","Fuel efficiency,Repair costs",Maybe
>1000,20M–100M,Retail/E-commerce,25–100,"Forklifts,Electric vehicles (EVs),Vans,Delivery bikes",2–5,Preventive,2,1489,Tire issues,ERP,Heard of it,Complexity,Unlikely,10–25%,Competitive advantage,21–30%,Maintenance scheduling,Critical,Manual spreadsheet,<2%,Essential,"Customer satisfaction,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Emission metrics,Fuel efficiency",Yes
51–200,1M–5M,Logistics provider,25–100,"Electric vehicles (EVs),Forklifts",6–10,Reactive,1,717,Accidents,"WMS,ERP,TMS",Not familiar,Other,Very likely,10–25%,Sustainability goals,>30%,Predictive alerts,Slightly important,Manual spreadsheet,<2%,High,"Regulatory compliance,Safety,Cost reduction","Moderate cost, high reliability","Fuel efficiency,Repair costs,Delivery delays",Maybe
<50,1M–5M,Manufacturing,101–250,"Electric vehicles (EVs),Delivery bikes",6–10,Preventive,0,1527,Electrical issues,"None,WMS,TMS",Somewhat familiar,Data security concerns,Unlikely,>50%,Uptime improvement,21–30%,"Predictive alerts,Maintenance scheduling",Critical,Not tracked,<2%,Essential,"Sustainability,Customer satisfaction,Safety","Moderate cost, high reliability",Fuel efficiency,No
<50,>100M,Manufacturing,25–100,"Forklifts,Electric vehicles (EVs)",6–10,Preventive,4,1282,Battery/charging (for EVs),"ERP,None",Somewhat familiar,Lack of internal skills,Neutral,10–25%,Competitive advantage,21–30%,"Predictive alerts,Maintenance scheduling,Fuel efficiency analytics",Slightly important,Not tracked,6–10%,None,"Safety,Cost reduction,Uptime/reliability","Lower cost, moderate reliability",Delivery delays,Yes
<50,1M–5M,Food & Beverage,101–250,Delivery bikes,2–5,Preventive,1,1044,"Mechanical failure,Tire issues,Electrical issues","TMS,WMS",Very familiar,Cost,Neutral,10–25%,Regulatory compliance,>30%,"Predictive alerts,Cost–benefit analysis",Moderately important,In-house software,2–5%,Medium,"Customer satisfaction,Regulatory compliance,Sustainability","Higher cost, maximum reliability",Delivery delays,Maybe
<50,20M–100M,Manufacturing,25–100,"Delivery bikes,Forklifts,Vans",<2,Predictive,4,2149,Tire issues,"None,TMS,WMS",Very familiar,Lack of internal skills,Very likely,<10%,Competitive advantage,>30%,"Sustainability/CO₂ reports,Parts availability",Very important,3rd party tool,<2%,Essential,"Customer satisfaction,Uptime/reliability,Cost reduction","Moderate cost, high reliability","Emission metrics,Delivery delays,Downtime hours",Maybe
201–500,5M–20M,Logistics provider,101–250,"Electric vehicles (EVs),Delivery bikes,Trucks",6–10,Reactive,6,1252,Mechanical failure,WMS,Very familiar,Data security concerns,Likely,26–50%,Cost savings,21–30%,"Parts availability,Predictive alerts",Very important,In-house software,6–10%,Medium,"Cost reduction,Regulatory compliance,Uptime/reliability","Moderate cost, high reliability","Repair costs,Emission metrics",Yes
<50,1M–5M,Manufacturing,251–500,"Forklifts,Delivery bikes",6–10,Reactive,1,300,"Accidents,Electrical issues,Tire issues","None,TMS,WMS",Somewhat familiar,Not a priority,Very unlikely,10–25%,Regulatory compliance,21–30%,Sustainability/CO₂ reports,Very important,Manual spreadsheet,2–5%,None,"Uptime/reliability,Regulatory compliance,Customer satisfaction","Moderate cost, high reliability","Emission metrics,Delivery delays",Maybe
51–200,20M–100M,Logistics provider,251–500,"Electric vehicles (EVs),Vans,Forklifts",2–5,Preventive,3,1079,"Battery/charging (for EVs),Electrical issues","ERP,TMS,None",Somewhat familiar,Complexity,Likely,26–50%,Competitive advantage,10–20%,Parts availability,Moderately important,Not tracked,>10%,Low,"Customer satisfaction,Cost reduction,Uptime/reliability","Lower cost, moderate reliability",Emission metrics,Maybe
501–1000,5M–20M,Logistics provider,101–250,"Electric vehicles (EVs),Forklifts",<2,Reactive,2,1697,"Accidents,Battery/charging (for EVs),Electrical issues","WMS,ERP",Somewhat familiar,Other,Neutral,10–25%,Sustainability goals,10–20%,Real-time health scores,Not important,3rd party tool,6–10%,Medium,"Sustainability,Customer satisfaction,Uptime/reliability","Higher cost, maximum reliability",Fuel efficiency,Yes
<50,5M–20M,Manufacturing,25–100,Forklifts,<2,Preventive,5,737,"Mechanical failure,Accidents",None,Somewhat familiar,Other,Neutral,10–25%,Competitive advantage,>30%,Real-time health scores,Moderately important,In-house software,6–10%,High,"Uptime/reliability,Safety,Cost reduction","Moderate cost, high reliability","Downtime hours,Emission metrics,Fuel efficiency",Maybe
501–1000,1M–5M,Logistics provider,<25,"Trucks,Delivery bikes",>10,Preventive,3,1680,Mechanical failure,WMS,Somewhat familiar,Data security concerns,Likely,10–25%,Uptime improvement,21–30%,"Fuel efficiency analytics,Real-time health scores",Moderately important,Not tracked,<2%,Low,"Regulatory compliance,Cost reduction,Safety","Moderate cost, high reliability","Emission metrics,Delivery delays",Maybe
51–200,5M–20M,Manufacturing,101–250,"Electric vehicles (EVs),Delivery bikes,Trucks",6–10,Preventive,1,701,"Battery/charging (for EVs),Mechanical failure,Accidents",ERP,Currently using,Other,Unlikely,<10%,Uptime improvement,10–20%,"Maintenance scheduling,Fuel efficiency analytics,Sustainability/CO₂ reports",Very important,3rd party tool,6–10%,Medium,"Customer satisfaction,Cost reduction,Uptime/reliability","Lower cost, moderate reliability","Delivery delays,Downtime hours",Yes
<50,1M–5M,Food & Beverage,25–100,"Forklifts,Electric vehicles (EVs),Delivery bikes,Trucks",>10,Reactive,1,1868,Battery/charging (for EVs),"ERP,TMS,WMS",Heard of it,Data security concerns,Very likely,10–25%,Competitive advantage,>30%,"Predictive alerts,Maintenance scheduling",Slightly important,Manual spreadsheet,6–10%,None,"Regulatory compliance,Customer satisfaction,Safety","Lower cost, moderate reliability",Emission metrics,Yes
201–500,1M–5M,Food & Beverage,25–100,"Forklifts,Vans",2–5,Preventive,3,914,"Electrical issues,Mechanical failure","ERP,TMS",Currently using,Lack of internal skills,Likely,>50%,Sustainability goals,>30%,"Parts availability,Cost–benefit analysis",Moderately important,Manual spreadsheet,6–10%,Medium,"Sustainability,Uptime/reliability,Regulatory compliance","Lower cost, moderate reliability","Repair costs,Delivery delays,Emission metrics",Yes
201–500,>100M,Other,<25,"Vans,Delivery bikes",>10,Preventive,2,1024,"Accidents,Tire issues","ERP,None,WMS",Not familiar,Not a priority,Neutral,26–50%,Sustainability goals,>30%,Sustainability/CO₂ reports,Critical,In-house software,<2%,Essential,"Uptime/reliability,Regulatory compliance,Cost reduction","Lower cost, moderate reliability","Fuel efficiency,Delivery delays",Yes
>1000,1M–5M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks",2–5,Preventive,4,987,"Battery/charging (for EVs),Accidents","None,TMS",Heard of it,Complexity,Likely,<10%,Sustainability goals,21–30%,"Maintenance scheduling,Fuel efficiency analytics,Predictive alerts",Not important,Manual spreadsheet,6–10%,High,"Sustainability,Customer satisfaction,Cost reduction","Lower cost, moderate reliability","Delivery delays,Emission metrics,Repair costs",Maybe
501–1000,5M–20M,Logistics provider,<25,"Delivery bikes,Trucks,Electric vehicles (EVs),Forklifts",2–5,Reactive,5,1499,Tire issues,"WMS,TMS,ERP",Heard of it,Other,Unlikely,<10%,Competitive advantage,21–30%,"Real-time health scores,Predictive alerts,Parts availability",Very important,3rd party tool,6–10%,Medium,"Cost reduction,Regulatory compliance,Safety","Lower cost, moderate reliability","Delivery delays,Fuel efficiency,Emission metrics,Repair costs",Yes
501–1000,1M–5M,Retail/E-commerce,251–500,Electric vehicles (EVs),6–10,Reactive,3,2122,"Battery/charging (for EVs),Electrical issues","TMS,WMS,None",Somewhat familiar,Not a priority,Likely,10–25%,Competitive advantage,<10%,"Parts availability,Fuel efficiency analytics,Predictive alerts",Slightly important,Manual spreadsheet,2–5%,Low,"Sustainability,Uptime/reliability,Customer satisfaction","Moderate cost, high reliability","Repair costs,Emission metrics",Maybe
51–200,20M–100M,Logistics provider,25–100,"Trucks,Delivery bikes,Forklifts",2–5,Reactive,2,1207,"Electrical issues,Tire issues,Battery/charging (for EVs)","TMS,None",Not familiar,Not a priority,Very unlikely,26–50%,Cost savings,>30%,"Fuel efficiency analytics,Real-time health scores,Sustainability/CO₂ reports",Slightly important,Manual spreadsheet,6–10%,Low,"Cost reduction,Uptime/reliability,Customer satisfaction","Moderate cost, high reliability","Delivery delays,Fuel efficiency",Maybe
51–200,1M–5M,Manufacturing,101–250,"Vans,Electric vehicles (EVs)",2–5,Reactive,4,1195,Mechanical failure,ERP,Very familiar,Not a priority,Neutral,10–25%,Uptime improvement,>30%,Cost–benefit analysis,Very important,Not tracked,<2%,None,"Customer satisfaction,Safety,Regulatory compliance","Moderate cost, high reliability","Downtime hours,Repair costs,Fuel efficiency",Yes
501–1000,>100M,Manufacturing,<25,Trucks,2–5,Predictive,1,913,Mechanical failure,"ERP,TMS,None",Very familiar,Cost,Likely,26–50%,Regulatory compliance,>30%,"Fuel efficiency analytics,Maintenance scheduling,Sustainability/CO₂ reports",Moderately important,Not tracked,6–10%,High,"Cost reduction,Safety,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Emission metrics,Repair costs,Delivery delays",No
501–1000,5M–20M,Manufacturing,101–250,Delivery bikes,2–5,Reactive,4,386,"Electrical issues,Accidents","WMS,ERP,TMS",Very familiar,Not a priority,Likely,>50%,Regulatory compliance,>30%,"Sustainability/CO₂ reports,Maintenance scheduling,Predictive alerts",Very important,3rd party tool,6–10%,None,"Cost reduction,Regulatory compliance,Sustainability","Moderate cost, high reliability","Downtime hours,Fuel efficiency",No
>1000,1M–5M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks,Forklifts",6–10,Preventive,2,963,"Battery/charging (for EVs),Electrical issues","ERP,None,WMS",Somewhat familiar,Data security concerns,Unlikely,10–25%,Uptime improvement,<10%,"Parts availability,Cost–benefit analysis",Critical,3rd party tool,<2%,Medium,"Uptime/reliability,Safety,Cost reduction","Moderate cost, high reliability","Repair costs,Emission metrics",No
51–200,<1M,Logistics provider,251–500,"Vans,Trucks,Forklifts,Electric vehicles (EVs)",6–10,Predictive,3,570,"Mechanical failure,Accidents","WMS,ERP",Currently using,Cost,Neutral,<10%,Cost savings,21–30%,"Cost–benefit analysis,Sustainability/CO₂ reports",Critical,Not tracked,6–10%,High,"Cost reduction,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Repair costs,Fuel efficiency,Downtime hours",Yes
51–200,1M–5M,Logistics provider,251–500,"Forklifts,Electric vehicles (EVs),Vans",6–10,Reactive,3,300,Tire issues,TMS,Very familiar,Cost,Neutral,26–50%,Uptime improvement,21–30%,"Predictive alerts,Real-time health scores",Critical,3rd party tool,>10%,High,"Regulatory compliance,Safety,Cost reduction","Higher cost, maximum reliability","Downtime hours,Delivery delays",Yes
501–1000,5M–20M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks,Vans,Delivery bikes",6–10,Preventive,1,1162,"Accidents,Tire issues,Battery/charging (for EVs)",TMS,Somewhat familiar,Not a priority,Neutral,10–25%,Cost savings,>30%,Cost–benefit analysis,Very important,Manual spreadsheet,<2%,High,"Cost reduction,Uptime/reliability,Safety","Higher cost, maximum reliability","Emission metrics,Fuel efficiency,Downtime hours",Yes
51–200,1M–5M,Food & Beverage,>500,Vans,6–10,Predictive,2,929,"Tire issues,Electrical issues","WMS,None,ERP",Very familiar,Other,Unlikely,10–25%,Cost savings,<10%,"Fuel efficiency analytics,Parts availability,Predictive alerts",Moderately important,In-house software,<2%,High,"Cost reduction,Customer satisfaction,Sustainability","Moderate cost, high reliability",Fuel efficiency,Yes
>1000,20M–100M,Logistics provider,>500,Vans,<2,Predictive,2,1888,"Electrical issues,Accidents,Mechanical failure","None,ERP,WMS",Somewhat familiar,Other,Likely,10–25%,Sustainability goals,21–30%,"Sustainability/CO₂ reports,Parts availability,Maintenance scheduling",Moderately important,3rd party tool,6–10%,None,"Cost reduction,Customer satisfaction,Regulatory compliance","Lower cost, moderate reliability","Emission metrics,Downtime hours",Maybe
>1000,5M–20M,Logistics provider,251–500,"Vans,Trucks,Delivery bikes",2–5,Preventive,4,772,Mechanical failure,"TMS,None,WMS",Somewhat familiar,Other,Unlikely,10–25%,Uptime improvement,<10%,"Predictive alerts,Maintenance scheduling",Very important,In-house software,2–5%,Low,"Sustainability,Uptime/reliability,Safety","Higher cost, maximum reliability","Fuel efficiency,Downtime hours,Repair costs,Delivery delays",Yes
